Year,Country,Yield,Rainfall_mm_per_year,Avg_Temp_C,Pesticides_tonnes
2013,Algeria,60000,89.0,17.65,17278.65
1990,Algeria,6315,89.0,17.48,1828.92
1991,Algeria,10809,89.0,16.26,2461.8
1992,Algeria,9939,89.0,16.27,1215.47
1993,Algeria,8097,89.0,17.0,1021.89
1994,Algeria,7999,89.0,17.88,1255.02
1995,Algeria,8924,89.0,17.36,2697.09
1996,Algeria,13090,89.0,16.76,479.77
1997,Algeria,8016,89.0,17.84,401.22
1998,Algeria,8847,89.0,17.14,322.84
1999,Algeria,10711,89.0,17.97,654.45
2000,Algeria,9194,89.0,17.9,603.67
2001,Algeria,11104,89.0,18.13,710.11
2002,Algeria,10739,89.0,17.85,816.55
2004,Algeria,13582,89.0,17.38,3747.86
2005,Algeria,15057,89.0,17.19,3662.87
2006,Algeria,15068,89.0,18.13,4110.72
2007,Algeria,12742,89.0,17.42,5390.79
2008,Algeria,11038,89.0,17.55,11556.12
2009,Algeria,15975,89.0,17.78,3867.99
2010,Algeria,14838,89.0,17.59,1295.88
2011,Algeria,17405,89.0,17.79,13861.76
2012,Algeria,17639,89.0,17.91,17379.76
2013,Algeria,19100,89.0,17.65,17278.65
1990,Angola,41177,1010.0,24.12,64.0
1991,Angola,40295,1010.0,24.02,79.0
1992,Angola,42295,1010.0,23.96,23.0
1993,Angola,42295,1010.0,24.15,169.0
1994,Angola,58596,1010.0,24.04,25.5
1995,Angola,51000,1010.0,24.56,336.0
1996,Angola,48077,1010.0,24.11,40.0
1997,Angola,44205,1010.0,24.06,40.0
1998,Angola,55728,1010.0,24.96,40.0
1999,Angola,59821,1010.0,24.37,40.0
2000,Angola,82992,1010.0,24.41,40.0
2001,Angola,94072,1010.0,24.43,40.0
2002,Angola,110071,1010.0,24.79,40.0
2004,Angola,125605,1010.0,24.22,40.0
2005,Angola,117628,1010.0,24.41,40.0
2006,Angola,117201,1010.0,24.14,40.0
2007,Angola,115387,1010.0,24.24,40.0
2008,Angola,148084,1010.0,24.27,40.0
2009,Angola,151759,1010.0,24.33,40.0
2010,Angola,155782,1010.0,24.44,40.0
2011,Angola,133649,1010.0,24.15,40.0
2012,Angola,100073,1010.0,24.24,40.0
2013,Angola,140517,1010.0,24.55,40.0
1990,Angola,2736,1010.0,24.12,64.0
1991,Angola,4013,1010.0,24.02,79.0
1992,Angola,3778,1010.0,23.96,23.0
1993,Angola,2627,1010.0,24.15,169.0
1994,Angola,2463,1010.0,24.04,25.5
1995,Angola,3517,1010.0,24.56,336.0
1996,Angola,6993,1010.0,24.11,40.0
1997,Angola,5959,1010.0,24.06,40.0
1998,Angola,7396,1010.0,24.96,40.0
1999,Angola,6361,1010.0,24.37,40.0
2000,Angola,5745,1010.0,24.41,40.0
2001,Angola,5754,1010.0,24.43,40.0
2002,Angola,6706,1010.0,24.79,40.0
2004,Angola,5404,1010.0,24.22,40.0
2005,Angola,6736,1010.0,24.41,40.0
2006,Angola,4687,1010.0,24.14,40.0
2007,Angola,5091,1010.0,24.24,40.0
2008,Angola,7946,1010.0,24.27,40.0
2009,Angola,6614,1010.0,24.33,40.0
2010,Angola,7200,1010.0,24.44,40.0
2011,Angola,7376,1010.0,24.15,40.0
2012,Angola,7770,1010.0,24.24,40.0
2013,Angola,9467,1010.0,24.55,40.0
1990,Angola,40000,1010.0,24.12,64.0
1991,Angola,40000,1010.0,24.02,79.0
1992,Angola,40000,1010.0,23.96,23.0
1993,Angola,70000,1010.0,24.15,169.0
1994,Angola,90000,1010.0,24.04,25.5
1995,Angola,76738,1010.0,24.56,336.0
1996,Angola,70000,1010.0,24.11,40.0
1997,Angola,68571,1010.0,24.06,40.0
1998,Angola,62724,1010.0,24.96,40.0
1999,Angola,54597,1010.0,24.37,40.0
2000,Angola,29885,1010.0,24.41,40.0
2001,Angola,42552,1010.0,24.43,40.0
2002,Angola,42754,1010.0,24.79,40.0
2004,Angola,20150,1010.0,24.22,40.0
2005,Angola,23646,1010.0,24.41,40.0
2006,Angola,52148,1010.0,24.14,40.0
2007,Angola,62138,1010.0,24.24,40.0
2008,Angola,85085,1010.0,24.27,40.0
2009,Angola,86509,1010.0,24.33,40.0
2010,Angola,87425,1010.0,24.44,40.0
2011,Angola,81366,1010.0,24.15,40.0
2012,Angola,69381,1010.0,24.24,40.0
2013,Angola,63303,1010.0,24.55,40.0
1990,Angola,9512,1010.0,24.12,64.0
1991,Angola,10000,1010.0,24.02,79.0
1992,Angola,9106,1010.0,23.96,23.0
1993,Angola,8000,1010.0,24.15,169.0
1994,Angola,8750,1010.0,24.04,25.5
1995,Angola,14615,1010.0,24.56,336.0
1996,Angola,17500,1010.0,24.11,40.0
1997,Angola,20000,1010.0,24.06,40.0
1998,Angola,20000,1010.0,24.96,40.0
1999,Angola,14235,1010.0,24.37,40.0
2000,Angola,13454,1010.0,24.41,40.0
2001,Angola,13701,1010.0,24.43,40.0
2002,Angola,13198,1010.0,24.79,40.0
2004,Angola,11584,1010.0,24.22,40.0
2005,Angola,6977,1010.0,24.41,40.0
2006,Angola,4947,1010.0,24.14,40.0
2007,Angola,5143,1010.0,24.24,40.0
2008,Angola,5084,1010.0,24.27,40.0
2009,Angola,6028,1010.0,24.33,40.0
2010,Angola,7403,1010.0,24.44,40.0
2011,Angola,8914,1010.0,24.15,40.0
2012,Angola,7703,1010.0,24.24,40.0
2013,Angola,12744,1010.0,24.55,40.0
2000,Angola,3333,1010.0,24.41,40.0
2001,Angola,3571,1010.0,24.43,40.0
2002,Angola,3400,1010.0,24.79,40.0
2004,Angola,3333,1010.0,24.22,40.0
2005,Angola,3333,1010.0,24.41,40.0
2006,Angola,4091,1010.0,24.14,40.0
2007,Angola,4031,1010.0,24.24,40.0
2008,Angola,929,1010.0,24.27,40.0
2009,Angola,2480,1010.0,24.33,40.0
2010,Angola,2814,1010.0,24.44,40.0
2011,Angola,3320,1010.0,24.15,40.0
2012,Angola,998,1010.0,24.24,40.0
2013,Angola,2415,1010.0,24.55,40.0
2000,Angola,2333,1010.0,24.41,40.0
2001,Angola,2500,1010.0,24.43,40.0
2002,Angola,2857,1010.0,24.79,40.0
2004,Angola,3600,1010.0,24.22,40.0
2005,Angola,3793,1010.0,24.41,40.0
2006,Angola,4286,1010.0,24.14,40.0
2007,Angola,6883,1010.0,24.24,40.0
2008,Angola,8575,1010.0,24.27,40.0
2009,Angola,4449,1010.0,24.33,40.0
2010,Angola,4446,1010.0,24.44,40.0
2011,Angola,5294,1010.0,24.15,40.0
2012,Angola,1641,1010.0,24.24,40.0
2013,Angola,4405,1010.0,24.55,40.0
1990,Angola,89342,1010.0,24.12,64.0
1991,Angola,83001,1010.0,24.02,79.0
1992,Angola,90000,1010.0,23.96,23.0
1993,Angola,88095,1010.0,24.15,169.0
1994,Angola,83192,1010.0,24.04,25.5
1995,Angola,81138,1010.0,24.56,336.0
1996,Angola,85455,1010.0,24.11,40.0
1997,Angola,78098,1010.0,24.06,40.0
1998,Angola,76256,1010.0,24.96,40.0
1999,Angola,82865,1010.0,24.37,40.0
2000,Angola,34938,1010.0,24.41,40.0
2001,Angola,44458,1010.0,24.43,40.0
2002,Angola,42190,1010.0,24.79,40.0
2004,Angola,45360,1010.0,24.22,40.0
2005,Angola,46159,1010.0,24.41,40.0
2006,Angola,44240,1010.0,24.14,40.0
2007,Angola,58855,1010.0,24.24,40.0
2008,Angola,65437,1010.0,24.27,40.0
2009,Angola,66475,1010.0,24.33,40.0
2010,Angola,63001,1010.0,24.44,40.0
2011,Angola,65512,1010.0,24.15,40.0
2012,Angola,52954,1010.0,24.24,40.0
2013,Angola,73409,1010.0,24.55,40.0
1990,Angola,7995,1010.0,24.12,64.0
1991,Angola,8000,1010.0,24.02,79.0
1992,Angola,8000,1010.0,23.96,23.0
1993,Angola,8876,1010.0,24.15,169.0
1994,Angola,10000,1010.0,24.04,25.5
1995,Angola,11855,1010.0,24.56,336.0
1996,Angola,13738,1010.0,24.11,40.0
1997,Angola,15509,1010.0,24.06,40.0
1998,Angola,17143,1010.0,24.96,40.0
1999,Angola,17391,1010.0,24.37,40.0
2000,Angola,17023,1010.0,24.41,40.0
2001,Angola,16667,1010.0,24.43,40.0
2002,Angola,15455,1010.0,24.79,40.0
2004,Angola,12442,1010.0,24.22,40.0
2005,Angola,10946,1010.0,24.41,40.0
2006,Angola,10000,1010.0,24.14,40.0
2007,Angola,10000,1010.0,24.24,40.0
2008,Angola,10000,1010.0,24.27,40.0
2009,Angola,10000,1010.0,24.33,40.0
2010,Angola,10526,1010.0,24.44,40.0
2011,Angola,10959,1010.0,24.15,40.0
2012,Angola,11258,1010.0,24.24,40.0
2013,Angola,9022,1010.0,24.55,40.0
1990,Argentina,100000,591.0,17.46,26156.0
1990,Argentina,100000,591.0,17.67,26156.0
1991,Argentina,100000,591.0,17.64,26156.0
1991,Argentina,100000,591.0,17.86,26156.0
1992,Argentina,100000,591.0,17.09,26156.0
1992,Argentina,100000,591.0,17.51,26156.0
1993,Argentina,100000,591.0,17.32,26156.0
1993,Argentina,100000,591.0,17.53,26156.0
1994,Argentina,100000,591.0,18.17,30195.0
1994,Argentina,100000,591.0,18.31,30195.0
1995,Argentina,100000,591.0,17.74,37842.0
1995,Argentina,100000,591.0,17.62,37842.0
1996,Argentina,100000,591.0,17.64,54595.0
1996,Argentina,100000,591.0,17.97,54595.0
1997,Argentina,100000,591.0,18.29,77691.0
1997,Argentina,100000,591.0,18.54,77691.0
1998,Argentina,100000,591.0,17.23,62397.0
1998,Argentina,100000,591.0,17.52,62397.0
1999,Argentina,100000,591.0,17.15,62831.39
1999,Argentina,100000,591.0,17.71,62831.39
2000,Argentina,100000,591.0,16.98,63265.78
2000,Argentina,100000,591.0,17.66,63265.78
2001,Argentina,100000,591.0,17.71,63700.17
2001,Argentina,100000,591.0,18.42,63700.17
2002,Argentina,100000,591.0,17.58,64134.56
2002,Argentina,100000,591.0,18.07,64134.56
2004,Argentina,100000,591.0,17.67,65003.34
2004,Argentina,100000,591.0,18.11,65003.34
2005,Argentina,100000,591.0,17.32,65437.73
2005,Argentina,100000,591.0,17.83,65437.73
2006,Argentina,100000,591.0,18.1,65872.12
2006,Argentina,100000,591.0,18.35,65872.12
2007,Argentina,100000,591.0,16.71,81582.64
2007,Argentina,100000,591.0,17.14,81582.64
2008,Argentina,100000,591.0,17.71,87149.01
2008,Argentina,100000,591.0,18.39,87149.01
2009,Argentina,101695,591.0,18.16,61586.56
2009,Argentina,101695,591.0,18.09,61586.56
2010,Argentina,101000,591.0,17.33,105915.04
2010,Argentina,101000,591.0,17.84,105915.04
2011,Argentina,100000,591.0,17.58,100424.62
2011,Argentina,100000,591.0,17.93,100424.62
2012,Argentina,100000,591.0,18.18,136185.08
2012,Argentina,100000,591.0,18.43,136185.08
2013,Argentina,99459,591.0,16.45,171945.54
2013,Argentina,99459,591.0,16.88,171945.54
1990,Argentina,34608,591.0,17.46,26156.0
1990,Argentina,34608,591.0,17.67,26156.0
1991,Argentina,40444,591.0,17.64,26156.0
1991,Argentina,40444,591.0,17.86,26156.0
1992,Argentina,45237,591.0,17.09,26156.0
1992,Argentina,45237,591.0,17.51,26156.0
1993,Argentina,43552,591.0,17.32,26156.0
1993,Argentina,43552,591.0,17.53,26156.0
1994,Argentina,42371,591.0,18.17,30195.0
1994,Argentina,42371,591.0,18.31,30195.0
1995,Argentina,45223,591.0,17.74,37842.0
1995,Argentina,45223,591.0,17.62,37842.0
1996,Argentina,40397,591.0,17.64,54595.0
1996,Argentina,40397,591.0,17.97,54595.0
1997,Argentina,45557,591.0,18.29,77691.0
1997,Argentina,45557,591.0,18.54,77691.0
1998,Argentina,60780,591.0,17.23,62397.0
1998,Argentina,60780,591.0,17.52,62397.0
1999,Argentina,53702,591.0,17.15,62831.39
1999,Argentina,53702,591.0,17.71,62831.39
2000,Argentina,54329,591.0,16.98,63265.78
2000,Argentina,54329,591.0,17.66,63265.78
2001,Argentina,54553,591.0,17.71,63700.17
2001,Argentina,54553,591.0,18.42,63700.17
2002,Argentina,60791,591.0,17.58,64134.56
2002,Argentina,60791,591.0,18.07,64134.56
2004,Argentina,63931,591.0,17.67,65003.34
2004,Argentina,63931,591.0,18.11,65003.34
2005,Argentina,73587,591.0,17.32,65437.73
2005,Argentina,73587,591.0,17.83,65437.73
2006,Argentina,59030,591.0,18.1,65872.12
2006,Argentina,59030,591.0,18.35,65872.12
2007,Argentina,76655,591.0,16.71,81582.64
2007,Argentina,76655,591.0,17.14,81582.64
2008,Argentina,64525,591.0,17.71,87149.01
2008,Argentina,64525,591.0,18.39,87149.01
2009,Argentina,55760,591.0,18.16,61586.56
2009,Argentina,55760,591.0,18.09,61586.56
2010,Argentina,78040,591.0,17.33,105915.04
2010,Argentina,78040,591.0,17.84,105915.04
2011,Argentina,63503,591.0,17.58,100424.62
2011,Argentina,63503,591.0,17.93,100424.62
2012,Argentina,57346,591.0,18.18,136185.08
2012,Argentina,57346,591.0,18.43,136185.08
2013,Argentina,66037,591.0,16.45,171945.54
2013,Argentina,66037,591.0,16.88,171945.54
1990,Argentina,202747,591.0,17.46,26156.0
1990,Argentina,202747,591.0,17.67,26156.0
1991,Argentina,205692,591.0,17.64,26156.0
1991,Argentina,205692,591.0,17.86,26156.0
1992,Argentina,199039,591.0,17.09,26156.0
1992,Argentina,199039,591.0,17.51,26156.0
1993,Argentina,210314,591.0,17.32,26156.0
1993,Argentina,210314,591.0,17.53,26156.0
1994,Argentina,230166,591.0,18.17,30195.0
1994,Argentina,230166,591.0,18.31,30195.0
1995,Argentina,274272,591.0,17.74,37842.0
1995,Argentina,274272,591.0,17.62,37842.0
1996,Argentina,228877,591.0,17.64,54595.0
1996,Argentina,228877,591.0,17.97,54595.0
1997,Argentina,268502,591.0,18.29,77691.0
1997,Argentina,268502,591.0,18.54,77691.0
1998,Argentina,293744,591.0,17.23,62397.0
1998,Argentina,293744,591.0,17.52,62397.0
1999,Argentina,238938,591.0,17.15,62831.39
1999,Argentina,238938,591.0,17.71,62831.39
2000,Argentina,277566,591.0,16.98,63265.78
2000,Argentina,277566,591.0,17.66,63265.78
2001,Argentina,283768,591.0,17.71,63700.17
2001,Argentina,283768,591.0,18.42,63700.17
2002,Argentina,251347,591.0,17.58,64134.56
2002,Argentina,251347,591.0,18.07,64134.56
2004,Argentina,288717,591.0,17.67,65003.34
2004,Argentina,288717,591.0,18.11,65003.34
2005,Argentina,283917,591.0,17.32,65437.73
2005,Argentina,283917,591.0,17.83,65437.73
2006,Argentina,285828,591.0,18.1,65872.12
2006,Argentina,285828,591.0,18.35,65872.12
2007,Argentina,286765,591.0,16.71,81582.64
2007,Argentina,286765,591.0,17.14,81582.64
2008,Argentina,279412,591.0,17.71,87149.01
2008,Argentina,279412,591.0,18.39,87149.01
2009,Argentina,284439,591.0,18.16,61586.56
2009,Argentina,284439,591.0,18.09,61586.56
2010,Argentina,289849,591.0,17.33,105915.04
2010,Argentina,289849,591.0,17.84,105915.04
2011,Argentina,286657,591.0,17.58,100424.62
2011,Argentina,286657,591.0,17.93,100424.62
2012,Argentina,287821,591.0,18.18,136185.08
2012,Argentina,287821,591.0,18.43,136185.08
2013,Argentina,288984,591.0,16.45,171945.54
2013,Argentina,288984,591.0,16.88,171945.54
1990,Argentina,36709,591.0,17.46,26156.0
1990,Argentina,36709,591.0,17.67,26156.0
1991,Argentina,40294,591.0,17.64,26156.0
1991,Argentina,40294,591.0,17.86,26156.0
1992,Argentina,52075,591.0,17.09,26156.0
1992,Argentina,52075,591.0,17.51,26156.0
1993,Argentina,43559,591.0,17.32,26156.0
1993,Argentina,43559,591.0,17.53,26156.0
1994,Argentina,42989,591.0,18.17,30195.0
1994,Argentina,42989,591.0,18.31,30195.0
1995,Argentina,50306,591.0,17.74,37842.0
1995,Argentina,50306,591.0,17.62,37842.0
1996,Argentina,51031,591.0,17.64,54595.0
1996,Argentina,51031,591.0,17.97,54595.0
1997,Argentina,53703,591.0,18.29,77691.0
1997,Argentina,53703,591.0,18.54,77691.0
1998,Argentina,47762,591.0,17.23,62397.0
1998,Argentina,47762,591.0,17.52,62397.0
1999,Argentina,57337,591.0,17.15,62831.39
1999,Argentina,57337,591.0,17.71,62831.39
2000,Argentina,47798,591.0,16.98,63265.78
2000,Argentina,47798,591.0,17.66,63265.78
2001,Argentina,57495,591.0,17.71,63700.17
2001,Argentina,57495,591.0,18.42,63700.17
2002,Argentina,57197,591.0,17.58,64134.56
2002,Argentina,57197,591.0,18.07,64134.56
2004,Argentina,62661,591.0,17.67,65003.34
2004,Argentina,62661,591.0,18.11,65003.34
2005,Argentina,60165,591.0,17.32,65437.73
2005,Argentina,60165,591.0,17.83,65437.73
2006,Argentina,70610,591.0,18.1,65872.12
2006,Argentina,70610,591.0,18.35,65872.12
2007,Argentina,65604,591.0,16.71,81582.64
2007,Argentina,65604,591.0,17.14,81582.64
2008,Argentina,68278,591.0,17.71,87149.01
2008,Argentina,68278,591.0,18.39,87149.01
2009,Argentina,68842,591.0,18.16,61586.56
2009,Argentina,68842,591.0,18.09,61586.56
2010,Argentina,57646,591.0,17.33,105915.04
2010,Argentina,57646,591.0,17.84,105915.04
2011,Argentina,67901,591.0,17.58,100424.62
2011,Argentina,67901,591.0,17.93,100424.62
2012,Argentina,66617,591.0,18.18,136185.08
2012,Argentina,66617,591.0,18.43,136185.08
2013,Argentina,67187,591.0,16.45,171945.54
2013,Argentina,67187,591.0,16.88,171945.54
1990,Argentina,28116,591.0,17.46,26156.0
1990,Argentina,28116,591.0,17.67,26156.0
1991,Argentina,33320,591.0,17.64,26156.0
1991,Argentina,33320,591.0,17.86,26156.0
1992,Argentina,36217,591.0,17.09,26156.0
1992,Argentina,36217,591.0,17.51,26156.0
1993,Argentina,39529,591.0,17.32,26156.0
1993,Argentina,39529,591.0,17.53,26156.0
1994,Argentina,35065,591.0,18.17,30195.0
1994,Argentina,35065,591.0,18.31,30195.0
1995,Argentina,34588,591.0,17.74,37842.0
1995,Argentina,34588,591.0,17.62,37842.0
1996,Argentina,38763,591.0,17.64,54595.0
1996,Argentina,38763,591.0,17.97,54595.0
1997,Argentina,36845,591.0,18.29,77691.0
1997,Argentina,36845,591.0,18.54,77691.0
1998,Argentina,48105,591.0,17.23,62397.0
1998,Argentina,48105,591.0,17.52,62397.0
1999,Argentina,43845,591.0,17.15,62831.39
1999,Argentina,43845,591.0,17.71,62831.39
2000,Argentina,46477,591.0,16.98,63265.78
2000,Argentina,46477,591.0,17.66,63265.78
2001,Argentina,47429,591.0,17.71,63700.17
2001,Argentina,47429,591.0,18.42,63700.17
2002,Argentina,52691,591.0,17.58,64134.56
2002,Argentina,52691,591.0,18.07,64134.56
2004,Argentina,45531,591.0,17.67,65003.34
2004,Argentina,45531,591.0,18.11,65003.34
2005,Argentina,51872,591.0,17.32,65437.73
2005,Argentina,51872,591.0,17.83,65437.73
